# NG=16
# GL	GU	Temperature	10.0	100.0	1000.0	10000.0	100000.0	
9.999999999999999124e-06	2.999999999999999889e-02	3.000000000000000000e+02	8.344654910673968118e+01	8.901919995125791729e+01	9.003497461361351384e+01	9.014584551076188745e+01	0.000000000000000000e+00
2.999999999999999889e-02	5.800000000000000294e-02	3.000000000000000000e+02	2.159145949417506483e+00	2.159461218325918974e+00	2.159496308521883901e+00	2.159499857243777576e+00	0.000000000000000000e+00
5.800000000000000294e-02	1.400000000000000133e-01	3.000000000000000000e+02	1.504595281339856649e+00	1.504858012874709328e+00	1.504887081936327364e+00	1.504890019807584967e+00	0.000000000000000000e+00
1.400000000000000133e-01	2.800000000000000266e-01	3.000000000000000000e+02	1.015487290921482488e+00	1.015564563903943673e+00	1.015573075845220830e+00	1.015573935690572416e+00	0.000000000000000000e+00
2.800000000000000266e-01	3.499999999999999778e-01	3.000000000000000000e+02	8.051106284412361536e-01	8.051154126740545092e-01	8.051159385924373524e-01	8.051159917068485550e-01	0.000000000000000000e+00
3.499999999999999778e-01	6.250000000000000000e-01	3.000000000000000000e+02	6.853090089411645325e-01	6.853340382800042763e-01	6.853367856744447817e-01	6.853370630996526991e-01	0.000000000000000000e+00
6.250000000000000000e-01	8.499999999999999778e-01	3.000000000000000000e+02	5.679858630808540809e-01	5.679910977919518933e-01	5.679916715388754200e-01	5.679917294650944637e-01	0.000000000000000000e+00
8.499999999999999778e-01	9.710000000000000853e-01	3.000000000000000000e+02	5.265226283060541190e-01	5.265233114383879309e-01	5.265233862584599578e-01	5.265233938117941381e-01	0.000000000000000000e+00
9.710000000000000853e-01	1.020000000000000018e+00	3.000000000000000000e+02	5.113748315633670494e-01	5.113749466641599462e-01	5.113749592667861110e-01	5.113749605390216502e-01	0.000000000000000000e+00
1.020000000000000018e+00	1.096999999999999975e+00	3.000000000000000000e+02	5.005411343623574760e-01	5.005414130054606225e-01	5.005414435078333613e-01	5.005414465869739704e-01	0.000000000000000000e+00
1.096999999999999975e+00	1.149999999999999911e+00	3.000000000000000000e+02	4.908686580352632500e-01	4.908687116715549914e-01	4.908687175417573711e-01	4.908687181343263095e-01	0.000000000000000000e+00
1.149999999999999911e+00	1.300000000000000044e+00	3.000000000000000000e+02	4.827924278351341525e-01	4.827928041915971469e-01	4.827928453700887634e-01	4.827928495267337361e-01	0.000000000000000000e+00
1.300000000000000044e+00	4.000000000000000000e+00	3.000000000000000000e+02	4.886681275625318621e-01	4.886277607517292010e-01	4.886233574032842197e-01	4.886229130653728103e-01	0.000000000000000000e+00
4.000000000000000000e+00	5.530000000000000000e+03	3.000000000000000000e+02	7.292342277681699514e+00	2.398719550324554817e+01	6.594582243060840199e+01	9.109377092273653886e+01	0.000000000000000000e+00
5.530000000000000000e+03	8.210000000000000000e+05	3.000000000000000000e+02	5.821760057727873861e-01	6.134386099413183802e-01	6.181770195995792694e-01	6.186801199214871927e-01	0.000000000000000000e+00
8.210000000000000000e+05	1.000000000000000000e+07	3.000000000000000000e+02	6.879385286072835226e-02	6.893085682122343516e-02	6.894518442893217414e-02	6.894662375596501136e-02	0.000000000000000000e+00
9.999999999999999124e-06	2.999999999999999889e-02	6.000000000000000000e+02	8.149729604796029037e+01	8.700859175385890865e+01	8.802808104523691668e+01	8.813970636668922509e+01	0.000000000000000000e+00
2.999999999999999889e-02	5.800000000000000294e-02	6.000000000000000000e+02	2.159504691150885058e+00	2.159823389254300618e+00	2.159858864538418466e+00	2.159862452242859998e+00	0.000000000000000000e+00
5.800000000000000294e-02	1.400000000000000133e-01	6.000000000000000000e+02	1.504560098058490558e+00	1.504824095227717429e+00	1.504853305499214144e+00	1.504856257654936691e+00	0.000000000000000000e+00
1.400000000000000133e-01	2.800000000000000266e-01	6.000000000000000000e+02	1.015454311528300124e+00	1.015531790288435765e+00	1.015540325017924461e+00	1.015541187166588477e+00	0.000000000000000000e+00
2.800000000000000266e-01	3.499999999999999778e-01	6.000000000000000000e+02	8.051592201429081941e-01	8.051641152508114407e-01	8.051646533662126792e-01	8.051647077125422269e-01	0.000000000000000000e+00
3.499999999999999778e-01	6.250000000000000000e-01	6.000000000000000000e+02	6.853565158792125356e-01	6.853816283219413830e-01	6.853843848648873971e-01	6.853846632141723516e-01	0.000000000000000000e+00
6.250000000000000000e-01	8.499999999999999778e-01	6.000000000000000000e+02	5.679962059420540221e-01	5.680014297383507715e-01	5.680020022915890365e-01	5.680020600973205713e-01	0.000000000000000000e+00
8.499999999999999778e-01	9.710000000000000853e-01	6.000000000000000000e+02	5.265105754956680428e-01	5.265112596464047723e-01	5.265113345782638232e-01	5.265113421428867513e-01	0.000000000000000000e+00
9.710000000000000853e-01	1.020000000000000018e+00	6.000000000000000000e+02	5.113599573859006764e-01	5.113600726295789434e-01	5.113600852478862313e-01	5.113600865217053926e-01	0.000000000000000000e+00
1.020000000000000018e+00	1.096999999999999975e+00	6.000000000000000000e+02	5.005423685957204327e-01	5.005426447944399948e-01	5.005426750293431315e-01	5.005426780814838938e-01	0.000000000000000000e+00
1.096999999999999975e+00	1.149999999999999911e+00	6.000000000000000000e+02	4.910061506294391975e-01	4.910062108702671346e-01	4.910062174633291199e-01	4.910062181288679661e-01	0.000000000000000000e+00
1.149999999999999911e+00	1.300000000000000044e+00	6.000000000000000000e+02	4.827920618432519628e-01	4.827924386239952348e-01	4.827924798490069169e-01	4.827924840103497428e-01	0.000000000000000000e+00
